BSU	Gene	A22	Acriflavine	Actinomycin_D	Aztreonam	Benzalkonium	Cefaclor	Cefoxitin	Cerulenin	Chlorhexidine	Ciprofloxacin	Copper(II)_stress	Cycloserine_D	Dibucaine	Dipyridyl	Doxycycline	EDTA	Ethidium_bromide	Fosfomycin	Fusidic_acid	Gliotoxin	Holomycin	Iron(II)_stress	Mupirocin	Nalidixic_acid	Novobiocin	PAC-holo	Phenazine_monosulfate	Propidium_iodide	Puromycin	Rifampicin	SDS	Sulfamonomethoxine	Thiolutin	Triclosan	Trimethoprim	Vancomycin
BSU01250	rpsQ	0.447426261	-0.02114468	-1.321030491	2.782507026	-0.0679841665	0.455737216	1.4125869785	-0.298142009	-1.109756874	0.151296143	-0.001309686	0.005579645	-0.1634436	0.288236326	-0.664261206	0.469781601	-0.023972863	0.181702074	0.306174329	0.172669719	0.135403945	0.1534756145	0.348972125	1.321705499	0.218531323	1.1324772725	-0.939986928	-0.186690405	0.28183189	0.8503137635	0.452781666	-0.095615973	1.626539192	-0.587589634	-0.2095898675	1.27512971
BSU01260	rplN	0.6344615125	2.073263898	0.862182441	2.910049015	-1.3869455555	1.073843759	0.495646586	0.005862465	0.308205274	0.80832943	1.848055282	-0.989703635	0.595207041	0.234337622	-1.111443818	-0.319738986	-0.090790489	-1.4949421485	0.59203898	-0.788295611	1.945092541	2.156115267	-1.541981331	0.873212272	-0.446005819	-1.8664465625	-0.737053342	0.815878828	0.681810644	-0.030112161	0.451493512	-0.071952359	0.438338286	-1.378180065	-0.2385454595	0.364144088
BSU01270	rplX	0.8297164315	-0.068127286	-1.474889014	3.579710618	-0.624428724	-0.187829802	1.2094396865	-0.403288555	-0.061311472	1.046217999	-1.976792725	0.510469728	0.094828615	1.199987385	-2.083860844	-0.819414033	0.494095231	1.232136632	1.8130517885	0.243150062	1.153119351	-1.280653131	-0.069906704	2.976499671	-0.088629973	-2.176266055	-1.307354758	-1.073010254	-0.168916321	1.416072127	-0.729568421	-0.216015549	1.34460723	-0.01148081	-0.663723101	1.545044358
BSU01280	rplE	-0.245935809	1.722160365	-1.023606694	3.8923716895	-0.410505462	0.315490321	1.0554004535	0.607877953	0.478544447	1.060317338	-0.447005204	-0.623131654	0.962453361	-0.8235345285	-1.479097014	-0.802440603	0.850011094	0.488691091	2.324852318	1.676521634	2.047444764	0.37966285	-0.098522872	2.477474476	0.421525524	-2.1896799405	-0.596450896	0.100286151	-0.103782384	0.9546472085	-0.655935781	-0.256020948	0.347422691	-0.846516137	-0.1962103095	1.3657648455
BSU01290	rpsN	-0.1134858055	0.535096429	-0.443342733	-0.371836844	-0.1748441515	-0.523950649	-0.7663879295	0.218368302	0.736134751	-0.018035474	-0.163207446	-0.150752867	1.005033165	0.177230032	-0.013759677	0.41396684	0.199190233	0.4485078085	-0.8781879315	0.814605817	-1.249587117	0.137830426	0.164356955	-0.382745286	-0.150861352	1.4488549625	-0.136770137	0.752899648	0.806783119	0.2803858425	-0.359718108	0.401907089	-0.496315505	-0.427031208	-0.2062230625	-0.4357208505
BSU01290	rpsNA	-0.525169591	1.163869729	-4.026224005	4.5409548575	-0.7122424415	-0.254521676	1.114712723	-1.032902991	0.13131071	0.975912629	0.566563461	-1.016812019	0.387377073	1.2246337135	-2.746109682	-0.77063483	0.566023908	-0.672202218	2.978330851	1.244485337	2.258133927	-0.5674431755	-0.200883081	5.015662133	1.418916267	-1.5771008075	-1.565174915	0.026956361	0.732578778	0.9108557665	0.175500971	-0.081935981	1.776710035	-0.560016809	-0.1905042985	0.93154709
BSU01290	rpsNA	-0.525169591	1.163869729	-4.026224005	4.5409548575	-0.7122424415	-0.254521676	1.114712723	-1.032902991	0.13131071	0.975912629	0.566563461	-1.016812019	0.387377073	1.2246337135	-2.746109682	-0.77063483	0.566023908	-0.672202218	2.978330851	1.244485337	2.258133927	-0.5674431755	-0.200883081	5.015662133	1.418916267	-1.5771008075	-1.565174915	0.026956361	0.732578778	0.9108557665	0.175500971	-0.081935981	1.776710035	-0.560016809	-0.1905042985	0.93154709
BSU01300	rpsH	-0.396007958	1.667785864	-1.64504214	4.825242465	0.2028249685	-0.01747262	1.3876177525	-0.106045391	-0.578362559	1.028086758	0.100618647	-0.661689612	1.423772134	1.0019571225	-1.848442458	0.421428291	0.309312668	-0.6289103425	2.98465296	0.992959412	2.994986189	-0.355483537	-0.640018449	2.629132065	0.99921049	-1.7864320615	-1.422734089	-0.357346267	0.635239504	-0.301298091	0.196590948	-0.696773257	1.820850104	0.062995561	-0.5251787555	0.8229194445
BSU01310	rplF	0.4978786135	1.73009307	-2.034103561	3.111637439	-1.287687417	-1.966330333	0.2878402235	0.785865935	-0.788925869	1.375834983	0.587734225	-1.425263098	0.990356799	-0.3935911255	-2.185343249	-0.051608776	-0.426197594	-0.460048999	2.1400333455	1.439217946	1.896471169	-0.706014612	0.099396958	3.040460924	0.853809277	-1.7697482845	-1.249218139	0.085946092	0.114226062	1.6796524115	-0.929134854	-0.904321735	1.52371079	-1.045262899	-0.0364100435	1.4967105925
BSU01320	rplR	0.0216591855	-0.300146562	-1.229992069	4.0231335165	-0.487022468	-3.396006342	1.131708722	-1.013630631	0.723221888	0.46341915	-1.618217262	0.008888297	-0.205215921	-1.64793554	-2.105612542	0.005033691	-0.107938151	0.074247176	1.1591963605	1.019569009	0.511385089	0.6024897555	0.175854219	0.555242193	0.587987775	1.7903239445	-1.21201354	0.534095658	0.128721513	0.7834075125	-0.088102374	0.105175083	0.198816468	-0.747285457	0.0302804685	1.694168627
